,Date,Compound,Approve,Disapprove
0,2017-01-20,0.1855111111111111,45.90613,43.14093
1,2017-01-23,0.18322307692307696,43.71903,40.23624
2,2017-01-26,0.10647826086956523,42.90613,49.14093
3,2017-01-29,-0.23210588235294116,43.90613,50.14093
4,2017-02-01,0.06947368421052631,44.90613,48.14093
5,2017-02-04,-0.16515714285714292,42.90613,52.14093
6,2017-02-07,0.004899999999999988,42.90613,50.14093
7,2017-02-10,0.08202380952380953,40.90613,52.14093
8,2017-02-13,0.107675,40.90613,52.14093
9,2017-02-16,-0.028605555555555558,41.90613,53.140930000000004
10,2017-02-19,0.17833749999999998,42.90613,50.14093
11,2017-02-22,-0.02753333333333333,41.90613,51.14093
12,2017-02-25,0.1399692307692308,42.90613,52.14093
13,2017-02-28,0.40607999999999994,43.90613,49.14093
14,2017-03-03,-0.0612130434782609,44.90613,48.14093
15,2017-03-06,0.4003555555555556,41.90613,51.14093
16,2017-03-09,0.39695,45.90613,47.14093
17,2017-03-12,0.212275,41.4270625,51.974959999999996
18,2017-03-15,0.35106521739130436,40.90613,53.140930000000004
19,2017-03-18,0.09413,39.90613,54.140930000000004
20,2017-03-21,0.13114166666666668,41.90613,52.14093
21,2017-03-24,0.5836999999999999,36.90613,55.140930000000004
22,2017-03-27,0.25678666666666666,38.90613,55.140930000000004
23,2017-03-30,0.11875599999999999,38.90613,55.140930000000004
24,2017-04-02,0.3174533333333333,41.71903,50.436240000000005
25,2017-04-05,0.617225,40.90613,52.14093
26,2017-04-08,0.47350000000000003,40.90613,52.14093
27,2017-04-11,0.6394599999999999,40.90613,53.140930000000004
29,2017-04-17,0.13596842105263157,43.90613,48.14093
30,2017-04-20,0.12250000000000001,40.90613,52.14093
31,2017-04-23,-0.01598947368421054,42.35587714,51.25702571
32,2017-04-26,0.02812,43.90613,49.14093
33,2017-04-29,0.4394916666666666,42.90613,52.14093
35,2017-05-05,0.008152941176470585,42.90613,51.14093
36,2017-05-08,0.0011086956521739212,38.90613,53.140930000000004
37,2017-05-11,0.20875789473684211,39.114145,54.395265
38,2017-05-14,0.292725,38.90613,55.140930000000004
39,2017-05-17,0.20568750000000002,37.90613,54.140930000000004
40,2017-05-20,0.3699142857142857,38.90613,54.140930000000004
41,2017-05-23,0.64472,41.90613,52.14093
42,2017-05-26,0.09148695652173909,42.90613,51.14093
43,2017-05-29,0.14381000000000002,40.90613,52.14093
44,2017-06-01,0.16246315789473684,36.90613,56.140930000000004
45,2017-06-04,-0.13281904761904761,38.71903,56.03624
46,2017-06-07,0.4896833333333333,39.90613,54.140930000000004
47,2017-06-10,0.02955714285714286,36.90613,58.140930000000004
48,2017-06-13,0.11218571428571429,38.90613,55.140930000000004
49,2017-06-16,0.3005058823529412,38.90613,54.140930000000004
50,2017-06-19,0.3125464285714285,39.90613,54.140930000000004
51,2017-06-22,0.17367307692307693,38.90613,55.140930000000004
52,2017-06-25,-0.047644,40.78444857,52.97131143
53,2017-06-28,-0.06742758620689658,38.90613,55.140930000000004
54,2017-07-01,0.31426000000000004,37.90613,55.140930000000004
56,2017-07-07,0.31719545454545456,39.90613,54.140930000000004
58,2017-07-13,0.41663478260869563,38.90613,54.140930000000004
59,2017-07-16,0.315975,38.9270625,54.474959999999996
60,2017-07-19,0.17533999999999997,38.90613,55.140930000000004
61,2017-07-22,0.003028571428571428,36.90613,57.140930000000004
62,2017-07-25,0.27780750000000004,39.90613,52.14093
63,2017-07-28,0.33311666666666667,37.90613,57.140930000000004
64,2017-07-31,0.15965454545454547,36.90613,56.140930000000004
65,2017-08-03,0.4121771428571429,38.90613,54.140930000000004
66,2017-08-06,0.15458076923076922,37.51903,55.63624
67,2017-08-09,0.10460357142857145,37.90613,55.140930000000004
68,2017-08-12,0.07301363636363636,36.90613,57.140930000000004
69,2017-08-15,0.1474297297297297,38.90613,55.140930000000004
70,2017-08-18,0.2954157894736842,35.90613,57.140930000000004
71,2017-08-21,0.33288095238095244,34.90613,58.140930000000004
72,2017-08-24,0.25318780487804876,35.90613,58.140930000000004
73,2017-08-27,0.23037619047619048,38.21302,56.11416857
74,2017-08-30,0.3479823529411764,34.90613,59.140930000000004
75,2017-09-02,0.4205333333333333,37.90613,54.140930000000004
76,2017-09-05,0.25654615384615387,36.90613,55.140930000000004
77,2017-09-08,0.4078454545454546,38.90613,55.140930000000004
78,2017-09-11,0.49062,39.350092,52.296924
79,2017-09-14,0.058416666666666665,38.90613,55.140930000000004
80,2017-09-17,0.3253344827586208,40.11903,52.23624
81,2017-09-20,0.42074999999999996,37.90613,54.140930000000004
82,2017-09-23,0.2970545454545455,39.90613,54.140930000000004
83,2017-09-26,0.3167731707317073,37.90613,57.140930000000004
84,2017-09-29,0.32830961538461534,37.90613,55.140930000000004
85,2017-10-02,0.3425157894736842,39.90613,54.140930000000004
86,2017-10-05,0.08709199999999999,38.90613,55.140930000000004
87,2017-10-08,0.1131,37.90613,54.140930000000004
88,2017-10-11,0.1202425,38.90613,54.140930000000004
89,2017-10-14,0.320604,37.90613,56.140930000000004
90,2017-10-17,0.21922121212121212,35.90613,58.140930000000004
91,2017-10-20,0.1269357142857143,36.90613,55.140930000000004
92,2017-10-23,0.277504,37.90613,56.140930000000004
93,2017-10-26,0.23575405405405403,35.90613,58.140930000000004
94,2017-10-29,-0.155976,38.91903,56.03624
95,2017-11-01,0.0864591836734694,39.90613,54.140930000000004
