,Compound,Count,Date
198,0.8268,1,2018-02-20
199,0.8607,1,2018-02-20
200,0.7569,1,2018-02-20
201,0.9508,1,2018-02-20
202,0.0,1,2018-02-19
203,0.4295,1,2018-02-19
204,-0.2714,1,2018-02-19
205,0.9245,1,2018-02-18
206,0.6697,1,2018-02-18
207,0.8622,1,2018-02-18
208,-0.7579,1,2018-02-18
209,0.3382,1,2018-02-18
210,0.0,1,2018-02-18
211,0.5574,1,2018-02-18
212,0.2714,1,2018-02-18
213,-0.8807,1,2018-02-18
214,0.5707,1,2018-02-18
215,-0.4926,1,2018-02-18
216,-0.7138,1,2018-02-18
217,-0.126,1,2018-02-17
218,0.0,1,2018-02-17
219,-0.7823,1,2018-02-17
220,0.1007,1,2018-02-17
221,-0.8573,1,2018-02-17
222,-0.8316,1,2018-02-17
223,0.2401,1,2018-02-17
224,0.8208,1,2018-02-17
225,0.5767,1,2018-02-16
226,-0.8188,1,2018-02-16
227,-0.533,1,2018-02-16
228,-0.5267,1,2018-02-15
229,-0.3595,1,2018-02-15
230,-0.7184,1,2018-02-15
231,-0.0258,1,2018-02-15
232,-0.4215,1,2018-02-15
233,0.8832,1,2018-02-15
234,-0.8777,1,2018-02-15
235,-0.4767,1,2018-02-14
236,-0.765,1,2018-02-14
237,0.836,1,2018-02-14
238,0.9246,1,2018-02-14
239,0.7733,1,2018-02-13
240,0.8074,1,2018-02-13
241,0.8439,1,2018-02-12
242,0.6695,1,2018-02-12
243,-0.632,1,2018-02-12
244,-0.3164,1,2018-02-11
245,0.9761,1,2018-02-11
246,0.7263,1,2018-02-11
247,-0.4226,1,2018-02-11
248,0.8932,1,2018-02-10
249,0.0,1,2018-02-10
250,0.2244,1,2018-02-10
251,-0.5719,1,2018-02-10
252,-0.6808,1,2018-02-10
253,-0.8442,1,2018-02-10
254,0.4926,1,2018-02-10
255,-0.6114,1,2018-02-10
256,-0.3382,1,2018-02-10
257,-0.6114,1,2018-02-09
258,-0.4449,1,2018-02-09
259,0.7959,1,2018-02-09
260,0.5529,1,2018-02-09
261,0.6124,1,2018-02-08
262,0.9287,1,2018-02-08
263,0.0,1,2018-02-08
264,0.4278,1,2018-02-08
265,0.9359,1,2018-02-08
266,0.9465,1,2018-02-07
267,0.947,1,2018-02-07
268,0.9666,1,2018-02-07
269,0.0,1,2018-02-07
270,0.7644,1,2018-02-07
271,0.9215,1,2018-02-07
272,0.8188,1,2018-02-07
273,-0.8316,1,2018-02-06
274,-0.25,1,2018-02-06
275,0.5256,1,2018-02-06
276,0.8591,1,2018-02-06
277,-0.9151,1,2018-02-06
278,-0.0836,1,2018-02-05
279,0.8977,1,2018-02-05
280,-0.8467,1,2018-02-05
281,-0.8619,1,2018-02-05
282,0.7088,1,2018-02-05
283,-0.4951,1,2018-02-05
284,0.9215,1,2018-02-05
285,-0.3802,1,2018-02-04
286,-0.5994,1,2018-02-04
287,-0.765,1,2018-02-04
288,0.4926,1,2018-02-04
289,-0.7579,1,2018-02-03
290,0.8999,1,2018-02-03
291,0.0,1,2018-02-03
292,0.0,1,2018-02-03
293,0.8591,1,2018-02-02
294,0.0,1,2018-02-02
295,0.8252,1,2018-02-02
296,0.8143,1,2018-02-02
297,0.906,1,2018-02-02
298,0.3164,1,2018-02-02
299,0.8221,1,2018-02-01
300,-0.636,1,2018-02-01
301,0.8049,1,2018-02-01
302,0.296,1,2018-01-31
303,0.636,1,2018-01-29
304,0.2481,1,2018-01-28
305,-0.6399,1,2018-01-28
306,0.2444,1,2018-01-28
307,-0.2695,1,2018-01-28
308,0.7861,1,2018-01-27
309,-0.8955,1,2018-01-27
310,0.8692,1,2018-01-27
311,0.8588,1,2018-01-26
312,-0.6996,1,2018-01-26
313,0.7082,1,2018-01-26
314,0.3595,1,2018-01-26
315,0.9508,1,2018-01-26
316,0.8221,1,2018-01-26
317,0.5411,1,2018-01-26
318,0.5267,1,2018-01-25
319,0.0,1,2018-01-25
320,0.9477,1,2018-01-25
321,0.8599,1,2018-01-25
322,0.9738,1,2018-01-24
323,-0.3802,1,2018-01-24
324,-0.5986,1,2018-01-24
325,0.616,1,2018-01-24
326,0.3164,1,2018-01-24
327,0.968,1,2018-01-23
328,0.8553,1,2018-01-23
329,0.8016,1,2018-01-23
330,0.8016,1,2018-01-23
331,0.7177,1,2018-01-23
332,0.9184,1,2018-01-23
333,0.0,1,2018-01-22
334,-0.6049,1,2018-01-22
335,0.8655,1,2018-01-22
336,0.6793,1,2018-01-22
337,-0.2003,1,2018-01-21
