text,created_at,Unique Identifier
Wonderful meeting with Canadian PM @JustinTrudeau and a group of leading CEO's &amp; business women from Canada????????and thƒ?? https://t.co/wAoCOaYeZ6,2/13/2017,9
Congratulations Treasury Secretary Steven Mnuchin! #ICYMI- watch here: https://t.co/RPsmw4yD7y https://t.co/K8tWLlXiYK,2/14/2017,9
Congratulations to our new #VASecretary Dr. David Shulkin. Time to take care of Veterans who have fought to protectƒ?? https://t.co/FNewjbHuw4,2/14/2017,9
The real story here is why are there so many illegal leaks coming out of Washington? Will these leaks be happening as I deal on N.Korea etc?,2/14/2017,9
Great parent-teacher listening session this morning with @VP Pence &amp; @usedgov Secretary @BetsyDeVos. Watch:ƒ?? https://t.co/nuLTs513Ot,2/14/2017,9
'Remarks by President Trump at Signing of H.J. Resolution 41'https://t.co/Q3MoCGAc54 https://t.co/yGDDTKm9Br,2/14/2017,9
Obamacare continues to fail. Humana to pull out in 2018. Will repeal replace &amp; save healthcare for ALL Americans. https://t.co/glWEQ0lNR4,2/14/2017,9
The fake news media is going crazy with their conspiracy theories and blind hatred. @MSNBC &amp; @CNN are unwatchable. @foxandfriends is great!,2/15/2017,9
This Russian connection non-sense is merely an attempt to cover-up the many mistakes made in Hillary Clinton's losing campaign.,2/15/2017,9
Information is being illegally given to the failing @nytimes &amp; @washingtonpost by the intelligence community (NSA and FBI?).Just like Russia,2/15/2017,9
"Thank you to Eli Lake of The Bloomberg View - ""The NSA &amp; FBI...should not interfere in our politics...and is"" Very serious situation for USA",2/15/2017,9
Crimea was TAKEN by Russia during the Obama Administration. Was Obama too soft on Russia?,2/15/2017,9
"The real scandal here is that classified information is illegally given out by ""intelligence"" like candy. Very un-American!",2/15/2017,9
Great listening session with CEO's of the Retail Industry Leaders Association this morning! https://t.co/sy6xJcWfcF,2/15/2017,9
Welcome to the United States @IsraeliPM Benjamin &amp; Sara!#ICYMI???§???????????ñJoint Press Conference: https://t.co/GN6ALWUusN https://t.co/bH60nBL5FP,2/15/2017,9
Join me in Florida this Saturday at 5pm for a rally at the Orlando-Melbourne International Airport!Tickets:ƒ?? https://t.co/OigfXFECPp,2/15/2017,9
Aetna CEO: Obamacare in 'Death Spiral' #RepealAndReplace https://t.co/dmHL7xIEQv,2/15/2017,9
Venezuela should allow Leopoldo Lopez a political prisoner &amp; husband of @liliantintori (just met w/ @marcorubio) oƒ?? https://t.co/HhgE51dtSN,2/15/2017,9
Stock market hits new high with longest winning streak in decades. Great level of confidence and optimism - even before tax plan rollout!,2/16/2017,10
Leaking and even illegal classified leaking has been a big problem in Washington for years. Failing @nytimes (and others) must apologize!,2/16/2017,10
The spotlight has finally been put on the low-life leakers! They will be caught!,2/16/2017,10
"FAKE NEWS media which makes up stories and ""sources"" is far more effective than the discredited Democrats - but they are fading fast!",2/16/2017,10
The Democrats had to come up with a story as to why they lost the election and so badly (306) so they made up a story - RUSSIA. Fake news!,2/16/2017,10
'Trump signs bill undoing Obama coal mining rule' https://t.co/yMfT5r5RGh,2/16/2017,10
Despite the long delays by the Democrats in finally approving Dr. Tom Price the repeal and replacement of ObamaCare is moving fast!,2/17/2017,10
Going to Charleston South Carolina in order to spend time with Boeing and talk jobs! Look forward to it.,2/17/2017,10
Thank you for all of the nice statements on the Press Conference yesterday. Rush Limbaugh said one of greatest ever. Fake media not happy!,2/17/2017,10
General Keith Kellogg who I have known for a long time is very much in play for NSA - as are three others.,2/17/2017,10
Join me at 11:00am:Watch here: https://t.co/veqKmsGAwf https://t.co/UzndIjIqjM,2/17/2017,10
The FAKE NEWS media (failing @nytimes @CNN @NBCNews and many more)    is not my enemy it is the enemy of the American people. SICK!,2/17/2017,10
The FAKE NEWS media (failing @nytimes @NBCNews @ABC @CBS @CNN) is not my enemy it is the enemy of the American People!,2/17/2017,10
One of the most effective press conferences I've ever seen! says Rush Limbaugh. Many agree.Yet FAKE MEDIA  calls it differently! Dishonest,2/17/2017,10
Looking forward to the Florida rally tomorrow. Big crowd expected!,2/18/2017,10
Don't believe the main stream (fake news) media.The White House is running VERY WELL. I inherited a MESS and am in the process of fixing it.,2/18/2017,10
Will be having many meetings this weekend at The Southern White House. Big 5:00 P.M. speech in Melbourne Florida. A lot to talk about!,2/18/2017,10
Getting ready to leave for Melbourne Florida. See you all soon!,2/18/2017,10
My statement as to what's happening in Sweden was in reference to a story that was broadcast on @FoxNews concerning immigrants &amp; Sweden.,2/19/2017,11
Give the public a break - The FAKE NEWS media is trying to say that large scale immigration in Sweden is working out just beautifully. NOT!,2/20/2017,11
HAPPY PRESIDENTS DAY - MAKE AMERICA GREAT AGAIN!,2/20/2017,11
Meeting with Generals at Mar-a-Lago in Florida. Very interesting!,2/20/2017,11
Just named General H.R. McMaster National Security Advisor.,2/20/2017,11
Congratulations to our new National Security Advisor General H.R. McMaster. Video: https://t.co/BKn9r225Kk https://t.co/VBXcJ1b6Pv,2/21/2017,11
'Americans overwhelmingly oppose sanctuary cities' https://t.co/s5QvsJWA6u,2/21/2017,11
The so-called angry crowds in home districts of some Republicans are actually in numerous cases planned out by liberal activists. Sad!,2/21/2017,11
One thing I will say about Rep. Keith Ellison in his fight to lead the DNC is that he was the one who predicted early that I would win!,2/22/2017,12
Very much enjoyed my tour of the Smithsonian's National Museum of African American History and Culture...A great job done by amazing people!,2/22/2017,12
'S&amp;P 500 Edges Higher After Trump Renews Jobs Pledge' https://t.co/WtrRJVFmvU,2/23/2017,12
Seven people shot and killed yesterday in Chicago. What is going on there - totally out of control. Chicago needs help!,2/24/2017,12
