source,text,created_at,retweet_count,favorite_count,is_retweet,id_str,Column1
Twitter for iPhone,Many people booed the players who kneeled yesterday (which was a small percentage of total). These are fans who demand respect for our Flag!,9/25/2017,24597,137858,FALSE,9.12278E+17,83
Twitter for iPhone,The issue of kneeling has nothing to do with race. It is about respect for our Country Flag and National Anthem. NFL must respect this!,9/25/2017,56083,206672,FALSE,9.1228E+17,83
Twitter for iPhone,The White House never looked more beautiful than it did returning last night. Important meetings taking place today. Big tax cuts &amp; reform.,9/25/2017,14142,84347,FALSE,9.12282E+17,83
Twitter for iPhone,#StandForOurAnthem,9/25/2017,74410,207402,FALSE,9.12301E+17,83
Twitter for iPhone,RT @jayMAGA45: NFLplayer PatTillman joined U.S. Army in 2002. He was killed in action 2004. He fought 4our country/freedom. #StandForOurAntÉ??,9/25/2017,21651,0,TRUE,9.12302E+17,83
Twitter for iPhone,.@CNN is #FakeNews. Just reported COS (John Kelly) was opposed to my stance on NFL players disrespecting FLAG ANTHEM COUNTRY. Total lie!,9/25/2017,17397,65726,FALSE,9.12443E+17,83
Twitter for iPhone,General John Kelly totally agrees w/ my stance on NFL players and the fact that they should not be disrespecting our FLAG or GREAT COUNTRY!,9/25/2017,22128,107087,FALSE,9.12444E+17,83
Twitter for iPhone,Tremendous backlash against the NFL and its players for disrespect of our Country.#StandForOurAnthem???ß????,9/25/2017,27035,112130,FALSE,9.12444E+17,83
Twitter for iPhone,Texas &amp; Florida are doing great but Puerto Rico which was already suffering from broken infrastructure &amp; massive debt is in deep trouble..,9/26/2017,13539,58093,FALSE,9.12478E+17,84
Twitter for iPhone,...It's old electrical grid which was in terrible shape was devastated. Much of the Island was destroyed with billions of dollars....,9/26/2017,9115,43305,FALSE,9.1248E+17,84
Twitter for iPhone,...owed to Wall Street and the banks which sadly must be dealt with. Food water and medical are top priorities - and doing well. #FEMA,9/26/2017,8343,40493,FALSE,9.12482E+17,84
Media Studio,A few of the many clips of John McCain talking about Repealing &amp; Replacing O'Care. My oh my has he changed-complete turn from years of talk! https://t.co/t9cXG2Io86,9/26/2017,29849,78278,FALSE,9.12488E+17,84
Twitter for iPhone,Big election tomorrow in the Great State of Alabama. Vote for Senator Luther Strange tough on crime &amp; border - will never let you down!,9/26/2017,7432,42817,FALSE,9.12495E+17,84
Twitter for iPhone,Ratings for NFL football are way down except before game starts when people tune in to see whether or not our country will be disrespected!,9/26/2017,18510,90392,FALSE,9.12625E+17,84
Twitter for iPhone,The booing at the NFL football game last night when the entire Dallas team dropped to its knees was loudest I have ever heard. Great anger,9/26/2017,22527,113676,FALSE,9.12627E+17,84
